Name and weight,Cost,jpg_url
Hueso Jamón para Perro 1 Unidad.,1.25 €,https://www.petsonic.com/13262-large_default/hueso-jamon-amiguitos-para-perro.jpg
Snacks de Ternera en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12023-large_default/snacks-de-ternera-en-monodosis-para-perro.jpg
Snacks de Pollo en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12024-large_default/snacks-de-pollo-en-monodosis-para-perro.jpg
Snacks de Queso en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12025-large_default/snacks-de-queso-en-monodosis-para-perro.jpg
Snacks de Higado en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12026-large_default/snacks-de-higado-en-monodosis-para-perro.jpg
Snacks de Pescado en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12027-large_default/snacks-de-pescado-en-monodosis-para-perro.jpg
Snacks de Pato en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12028-large_default/snacks-de-pato-en-monodosis-para-perro.jpg
Snacks de Cordero en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12029-large_default/snacks-de-cordero-en-monodosis-para-perro.jpg
Sticks de Pollo en Monodosis para Perro 16 Unidades,1.85 €,https://www.petsonic.com/12047-large_default/sticks-de-pollo-en-monodosis-para-perro.jpg
Sticks de Ternera en Monodosis para Perro 12 Unidades.,2.80 €,https://www.petsonic.com/12046-large_default/sticks-de-ternera-en-monodosis-para-perro.jpg
Sticks de Higado en Monodosis para Perro 16 Unidades,2.80 €,https://www.petsonic.com/12049-large_default/sticks-dehigado-en-monodosis-para-perro.jpg
Sticks de Pato en Monodosis para Perro 16 Unidades,2.80 €,https://www.petsonic.com/12050-large_default/sticks-de-pato-en-monodosis-para-perro.jpg
Sticks de Cordero en Monodosis para Perro 16 Unidades,2.80 €,https://www.petsonic.com/12051-large_default/sticks-de-cordero-en-monodosis-para-perro.jpg
Sticks de Queso en Monodosis para Perro 16 Unidades,3.08 €,https://www.petsonic.com/12048-large_default/sticks-de-queso-en-monodosis-para-perro.jpg
Barritas Redonda de Ternera para Perro 900 Gr.,7.80 €,https://www.petsonic.com/3121-large_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpg
Barritas Redonda de Cordero para Perro 900 Gr.,7.80 €,https://www.petsonic.com/3126-large_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpg
Barritas Redonda de Pollo para Perro 900 Gr.,7.80 €,https://www.petsonic.com/3128-large_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpg
Mini Huesitos Tiernos Mix para Perros 500 Gr.,3.60 €,https://www.petsonic.com/5858-large_default/hobbit-alf-mini-huesitos-tiernos-mix-para-perros.jpg
Snack Toffy Salmón para Perro 250 Gr.,3.10 €,https://www.petsonic.com/10933-large_default/nayeco-snack-toffy-salmon-para-perros.jpg
Snack Toffy Pollo para Perro 75 Gr.,2.75 €,https://www.petsonic.com/11042-large_default/nayeco-snack-toffy-pollo-para-perros.jpg
Hueso Jamón para Perro 1 Unidad.,1.25 €,https://www.petsonic.com/13262-large_default/hueso-jamon-amiguitos-para-perro.jpg
Snacks de Ternera en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12023-large_default/snacks-de-ternera-en-monodosis-para-perro.jpg
Snacks de Pollo en Monodosis para Perro 16 Unidades,13.95 €,https://www.petsonic.com/12024-large_default/snacks-de-pollo-en-monodosis-para-perro.jpg
